title_theme,title_index,author,theme,cycle,collection,mss_ff,mss,ff,page,mss_index
heroica,heroica,flavius philostratus,classical romances,cycle of troy,royal,16. c. xxiii. ff. 2-69 b,16. c. xxiii.,ff. 2-69 b,1,royal 16. c. xxiii. ff. 2-69 b
iliaca,iliaca,joannes tzetzes,classical romances,cycle of troy,royal,16. c. iv. a. b.,16. c. iv. a. b.,,2,royal 16. c. iv. a. b.
iliaca,iliaca,joannes tzetzes,classical romances,cycle of troy,royal,16. d. iii. a. b.,16. d. iii. a. b.,,2,royal 16. d. iii. a. b.
iliaca,iliaca,joannes tzetzes,classical romances,cycle of troy,harley,harley 5662. ff. 1-56,harley 5662.,ff. 1-56,2,harley 5662. ff. 1-56
dictys cretensis,dictys cretensis,,classical romances,cycle of troy,harley,harley 3514,harley 3514,,9,harley 3514
dictys cretensis,dictys cretensis,,classical romances,cycle of troy,burney,burney 170,burney 170,,9,burney 170
dictys cretensis,dictys cretensis,,classical romances,cycle of troy,additional,"add. 15,429","add. 15,429",,9,"additional add. 15,429"
dares phrygius,dares phrygius,,classical romances,cycle of troy,royal,6. c. viii. ff. 123-133 b,6. c. viii.,ff. 123-133 b,12,royal 6. c. viii. ff. 123-133 b
dares phrygius,dares phrygius,,classical romances,cycle of troy,royal,10. a. x. ff. 188-192 b,10. a. x.,ff. 188-192 b,12,royal 10. a. x. ff. 188-192 b
dares phrygius,dares phrygius,,classical romances,cycle of troy,royal,13. a. v. ff. 88 b-98 b,13. a. v.,ff. 88 b-98 b,12,royal 13. a. v. ff. 88 b-98 b
dares phrygius,dares phrygius,,classical romances,cycle of troy,royal,15. a. xxii. ff. 73-90,15. a. xxii.,ff. 73-90,12,royal 15. a. xxii. ff. 73-90
dares phrygius,dares phrygius,,classical romances,cycle of troy,royal,15. b. xi. ff. 57-66 b,15. b. xi.,ff. 57-66 b,12,royal 15. b. xi. ff. 57-66 b
dares phrygius,dares phrygius,,classical romances,cycle of troy,cotton,caligula b. vii. ff. 214-218 b,caligula b. vii.,ff. 214-218 b,12,cotton caligula b. vii. ff. 214-218 b
dares phrygius,dares phrygius,,classical romances,cycle of troy,cotton,vitellius a. xiii. ff. 90,vitellius a. xiii.,ff. 90,12,cotton vitellius a. xiii. ff. 90
dares phrygius,dares phrygius,,classical romances,cycle of troy,cotton,vitellius c. viii. ff. 5 b-6 b,vitellius c. viii.,ff. 5 b-6 b,12,cotton vitellius c. viii. ff. 5 b-6 b
dares phrygius,dares phrygius,,classical romances,cycle of troy,cotton,vespasian b. xxv. ff. 98 b-117,vespasian b. xxv.,ff. 98 b-117,12,cotton vespasian b. xxv. ff. 98 b-117
dares phrygius,dares phrygius,,classical romances,cycle of troy,cotton,cleopatra b. v. ff. 222-250,cleopatra b. v.,ff. 222-250,12,cotton cleopatra b. v. ff. 222-250
dares phrygius,dares phrygius,,classical romances,cycle of troy,harley,harley 641. ff. 1-8,harley 641.,ff. 1-8,12,harley 641. ff. 1-8
dares phrygius,dares phrygius,,classical romances,cycle of troy,burney,burney 216. ff. 89-93 b,burney 216.,ff. 89-93 b,12,burney 216. ff. 89-93 b
dares phrygius,dares phrygius,,classical romances,cycle of troy,burney,burney 280. ff. 20 b-38 b,burney 280.,ff. 20 b-38 b,12,burney 280. ff. 20 b-38 b
dares phrygius,dares phrygius,,classical romances,cycle of troy,sloane,sloane 1619 ff. 29-37 b,sloane 1619,ff. 29-37 b,12,sloane 1619 ff. 29-37 b
dares phrygius,dares phrygius,,classical romances,cycle of troy,additional,"add. 10,094. ff. 1-14 b","add. 10,094.",ff. 1-14 b,12,"additional add. 10,094. ff. 1-14 b"
dares phrygius,dares phrygius,,classical romances,cycle of troy,additional,"add. 15,042","add. 15,042",,12,"additional add. 15,042"
dares phrygius,dares phrygius,,classical romances,cycle of troy,additional,"add. 19,709. ff. 1-7","add. 19,709.",ff. 1-7,12,"additional add. 19,709. ff. 1-7"
latin poems,,"simon chèvre d'or, etc",classical romances,cycle of troy,,,,,27,
roman de troie,roman de troie,benoît de sainte-more,classical romances,cycle of troy,harley,harley 4482,harley 4482,,35,harley 4482
roman de troie,roman de troie,benoît de sainte-more,classical romances,cycle of troy,additional,add. 30863,add. 30863,,35,additional add. 30863
historia trojana,historia trojana,guido delle colonne,classical romances,cycle of troy,royal,12. d. iii. ff. 38-143,12. d. iii.,ff. 38-143,40,royal 12. d. iii. ff. 38-143
historia trojana,historia trojana,guido delle colonne,classical romances,cycle of troy,royal,13. c. xii. ff. 6-32 b,13. c. xii.,ff. 6-32 b,40,royal 13. c. xii. ff. 6-32 b
historia trojana,historia trojana,guido delle colonne,classical romances,cycle of troy,royal,15. c. xvi. ff. 86-145,15. c. xvi.,ff. 86-145,40,royal 15. c. xvi. ff. 86-145
historia trojana,historia trojana,guido delle colonne,classical romances,cycle of troy,royal,16. f. ix.,16. f. ix.,,40,royal 16. f. ix.
historia trojana,historia trojana,guido delle colonne,classical romances,cycle of troy,harley,harley 51. ff. 3-105 b,harley 51.,ff. 3-105 b,40,harley 51. ff. 3-105 b
historia trojana,historia trojana,guido delle colonne,classical romances,cycle of troy,harley,harley 176,harley 176,,40,harley 176
historia trojana,historia trojana,guido delle colonne,classical romances,cycle of troy,harley,harley 3637,harley 3637,,40,harley 3637
historia trojana,historia trojana,guido delle colonne,classical romances,cycle of troy,harley,harley 3681,harley 3681,,40,harley 3681
historia trojana,historia trojana,guido delle colonne,classical romances,cycle of troy,harley,harley 4123. ff. 50-126,harley 4123.,ff. 50-126,40,harley 4123. ff. 50-126
historia trojana,historia trojana,guido delle colonne,classical romances,cycle of troy,harley,harley 4387,harley 4387,,40,harley 4387
historia trojana,historia trojana,guido delle colonne,classical romances,cycle of troy,lansdowne,lansdowne 229. ff. 164,lansdowne 229.,ff. 164,40,lansdowne 229. ff. 164
historia trojana,historia trojana,guido delle colonne,classical romances,cycle of troy,arundel,arundel 6 ff. 242-342 b,arundel 6,ff. 242-342 b,40,arundel 6 ff. 242-342 b
